Bedroom,Landsize,YearBuilt,RegionName
2,156,1900,Northern Metropolitan
4,245,1910,Northern Metropolitan
2,182,1900,Northern Metropolitan
3,120,2014,Northern Metropolitan
2,124,2013,Northern Metropolitan
3,113,1880,Northern Metropolitan
2,138,1890,Northern Metropolitan
2,172,1930,Northern Metropolitan
3,166,2012,Northern Metropolitan
2,98,1920,Northern Metropolitan
2,150,1985,Northern Metropolitan
2,256,1890,Northern Metropolitan
3,220,1900,Northern Metropolitan
2,238,1890,Northern Metropolitan
3,214,2005,Northern Metropolitan
2,147,1900,Northern Metropolitan
2,162,1900,Northern Metropolitan
3,120,1998,Northern Metropolitan
3,168,1950,Northern Metropolitan
3,134,1900,Northern Metropolitan
4,780,1900,Northern Metropolitan
3,198,1900,Northern Metropolitan
2,129,1890,Northern Metropolitan
2,249,1940,Northern Metropolitan
3,92,1888,Northern Metropolitan
3,270,1960,Northern Metropolitan
2,601,1970,Northern Metropolitan
2,2379,2013,Northern Metropolitan
3,92,2004,Northern Metropolitan
2,147,2000,Northern Metropolitan
3,142,1880,Northern Metropolitan
3,196,1900,Northern Metropolitan
3,159,1890,Northern Metropolitan
2,135,1890,Northern Metropolitan
2,113,1900,Northern Metropolitan
3,86,2004,Northern Metropolitan
3,211,1970,Northern Metropolitan
3,307,1900,Northern Metropolitan
2,976,2000,Western Metropolitan
3,1076,1960,Western Metropolitan
3,839,1925,Western Metropolitan
3,217,2005,Western Metropolitan
3,465,1950,Western Metropolitan
3,229,1996,Western Metropolitan
2,559,1995,Western Metropolitan
3,676,1965,Western Metropolitan
2,809,1980,Western Metropolitan
3,321,1940,Western Metropolitan
4,578,2010,Western Metropolitan
4,670,2010,Western Metropolitan
3,309,2007,Western Metropolitan
4,578,2010,Western Metropolitan
3,593,2016,Western Metropolitan
4,757,1950,Western Metropolitan
2,622,1970,Western Metropolitan
3,240,2013,Western Metropolitan
2,70,1980,Western Metropolitan
4,746,1950,Western Metropolitan
5,557,2010,Western Metropolitan
3,673,1965,Western Metropolitan
1,1715,1970,Western Metropolitan
4,511,1922,Western Metropolitan
4,484,1950,Western Metropolitan
5,730,2014,Western Metropolitan
4,923,1925,Western Metropolitan
4,797,1930,Western Metropolitan
3,224,2013,Western Metropolitan
4,734,1950,Western Metropolitan
5,691,1925,Western Metropolitan
3,971,1960,Western Metropolitan
6,976,1980,Western Metropolitan
2,110,2015,Western Metropolitan
3,579,1975,Western Metropolitan
2,161,2010,Western Metropolitan
2,164,2003,Western Metropolitan
2,612,1975,Western Metropolitan
3,612,1950,Western Metropolitan
3,303,2016,Western Metropolitan
2,120,2012,Western Metropolitan
3,1063,1975,Western Metropolitan
5,531,1980,Western Metropolitan
3,165,2009,Western Metropolitan
2,141,2013,Western Metropolitan
3,293,1960,Western Metropolitan
4,628,1975,Western Metropolitan
3,265,1993,Western Metropolitan
2,272,1950,Western Metropolitan
3,239,2009,Western Metropolitan
2,168,2011,Western Metropolitan
3,555,1980,Western Metropolitan
3,422,1995,Western Metropolitan
3,594,1950,Western Metropolitan
3,305,2008,Western Metropolitan
3,488,1960,Western Metropolitan
2,128,2009,Western Metropolitan
3,300,2011,Western Metropolitan
3,242,2010,Western Metropolitan
3,143,2012,Western Metropolitan
3,573,1965,Western Metropolitan
3,219,1960,Western Metropolitan
3,717,1950,Western Metropolitan
3,169,2000,Western Metropolitan
2,182,1985,Western Metropolitan
3,697,2017,Western Metropolitan
3,551,1950,Western Metropolitan
3,536,1980,Western Metropolitan
3,548,2017,Western Metropolitan
3,616,1960,Western Metropolitan
3,540,1960,Western Metropolitan
3,377,1970,Western Metropolitan
3,614,1960,Western Metropolitan
4,730,1950,Western Metropolitan
6,976,1980,Western Metropolitan
3,612,1970,Western Metropolitan
3,190,2012,Western Metropolitan
4,585,1960,Western Metropolitan
3,634,1960,Western Metropolitan
4,585,2015,Western Metropolitan
5,764,1980,Western Metropolitan
3,303,2017,Western Metropolitan
