TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,,,,
0.02,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4979664,1.023184,0.5572708,-0.1171751,0.9823864,0.3258975,-0.749922,0.9850447,0.3409739,0.3142439,1.028419,0.5869631,0.6792469,1.025371,0.569676,0.1042973,0.9895132,0.366316,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
0.3533259,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.488745,0.9912123,0.5741383,-0.1150052,0.9547668,0.342765,-0.7360353,0.9571408,0.3578414,0.3084244,0.9958897,0.6038306,0.6666691,0.9931667,0.5865436,0.1023659,0.9611337,0.3831835,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
0.6866519,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4795236,0.9592422,0.5910058,-0.1128353,0.9271472,0.3596325,-0.7221487,0.9292369,0.374709,0.3026049,0.9633616,0.6206982,0.6540914,0.9609623,0.6034111,0.1004345,0.9327541,0.4000511,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.019978,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4703021,0.927272,0.6078733,-0.1106654,0.8995275,0.3765,-0.708262,0.901333,0.3915765,0.2967854,0.9308336,0.6375657,0.6415136,0.9287579,0.6202786,0.09850304,0.9043745,0.4169186,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.119976,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4675357,0.917681,0.6129336,-0.1100144,0.8912417,0.3815603,-0.704096,0.8929618,0.3966367,0.2950396,0.9210752,0.6426259,0.6377403,0.9190966,0.6253389,0.09792361,0.8958607,0.4219788,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.186641,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4656914,0.911287,0.6163071,-0.1095804,0.8857177,0.3849338,-0.7013186,0.887381,0.4000102,0.2938757,0.9145696,0.6459994,0.6352247,0.9126557,0.6287124,0.09753733,0.8901848,0.4253523,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.242195,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4641545,0.9059586,0.6191183,-0.1092188,0.8811145,0.387745,-0.6990042,0.8827304,0.4028215,0.2929057,0.9091482,0.6488107,0.6331284,0.9072883,0.6315236,0.09721543,0.8854548,0.4281636,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.297749,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4626176,0.9006302,0.6219296,-0.1088571,0.8765112,0.3905563,-0.6966897,0.8780797,0.4056327,0.2919358,0.9037269,0.6516219,0.6310321,0.9019209,0.6343349,0.09689353,0.8807249,0.4309748,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
1.375525,1,Training,0,Shelves,Shelves,0,0.03,0,0,0,0,MIN3,MIN2,MIN1,MAX1,MAX3,MAX2,-0.4604659,0.8931705,0.6258653,-0.1083508,0.8700666,0.394492,-0.6934495,0.8715688,0.4095685,0.2905779,0.896137,0.6555577,0.6280973,0.8944066,0.6382706,0.09644286,0.874103,0.4349106,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,79.99997,0,0,,highlighted,,highlighted,,highlighted
