TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,GrabbedVis1,GrabbedVis2,PinnedVis1,PinnedVis2,PinnedVis3,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
0.02,1,Training,4,Floor,Shelves,,,,,,-1.577173,1.825268,0.04250917,25.61184,272.5696,359.7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.02,351.238,99.42301,False,False,False,False,False,False,False,True
0.3533296,1,Training,4,Floor,Shelves,,,,,,-1.577173,1.825268,0.04250917,25.61184,272.5696,359.7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.02,351.238,99.42301,False,False,False,False,False,False,True,True
0.4422175,1,Training,4,Floor,Shelves,,,,,,-1.568957,1.844736,0.04321855,15.40619,273.0408,357.6463,-2.289293,1.104728,-0.09653892,61.12008,283.9701,1.650155,-2.256307,1.106971,0.06828076,61.75407,246.4092,0.7957217,0.3916276,0.9694779,0.9262421,6.039908,2.004877,3.527896,0.2690742,0.06174957,0.9431844,288.141,260.9182,183.2105,0.4628199,0.07422175,0.9523129,294.4384,27.77794,65.39025,False,False,False,False,False,False,True,True
0.4866615,1,Training,4,Floor,Shelves,MIN1,,,,,-1.560349,1.845457,0.04326787,15.01739,272.9978,357.1144,-2.289712,1.104414,-0.09658816,61.12463,283.9758,1.652491,-2.256692,1.10631,0.06839894,61.74332,246.4073,0.7886333,0.3913978,0.9699237,0.925486,5.844398,2.035949,3.517696,0.2683282,0.06037556,0.9424055,288.1528,260.8973,183.2224,0.4631355,0.07480306,0.9518323,293.874,28.64349,65.4875,False,False,False,False,False,False,True,True
0.5311054,1,Training,4,Floor,Shelves,MIN1,,,,,-1.560089,1.845836,0.04321714,14.91315,273.022,357.2256,-2.290332,1.103995,-0.09669149,61.13538,283.9822,1.657519,-2.257062,1.106029,0.06836733,61.75642,246.4022,0.7965327,0.3912528,0.9702557,0.9250469,5.722936,2.106003,3.50804,0.2684998,0.06088483,0.9425508,288.1826,260.7042,183.4233,0.4631775,0.07489817,0.9517959,293.8669,28.77103,65.37888,False,False,False,False,False,False,True,True
0.5866604,1,Training,4,Floor,Shelves,MIN1,,,,,-1.558414,1.846515,0.04277223,14.54249,272.9616,357.2039,-2.289911,1.104221,-0.09647506,61.12867,283.9666,1.642107,-2.257168,1.105973,0.0682855,61.74443,246.3997,0.8053711,0.3910981,0.9708516,0.9244036,5.390369,2.078233,3.576694,0.2688199,0.0615334,0.9427857,288.1543,260.642,183.4342,0.4637918,0.07543107,0.9515516,294.0112,29.43964,64.91157,False,False,False,False,False,False,True,True
0.6199933,1,Training,4,Floor,Shelves,MIN1,,,,,-1.557504,1.847217,0.0420936,14.30898,273.0421,357.1029,-2.290339,1.103803,-0.09667581,61.13505,283.9817,1.658914,-2.256946,1.106158,0.06822121,61.74878,246.3982,0.8090124,0.3907438,0.9715502,0.9234865,5.125937,1.960958,3.610293,0.2685537,0.06063328,0.9424161,288.0161,260.8439,183.3042,0.463967,0.0756062,0.9514538,294.1828,29.62205,64.71839,False,False,False,False,False,False,True,True
0.6533263,1,Training,4,Floor,Shelves,MIN1,,,,,-1.556194,1.847468,0.04062475,14.37635,273.093,357.2171,-2.290622,1.103513,-0.0967616,61.13413,283.9899,1.6582,-2.257042,1.106105,0.06832291,61.73885,246.396,0.7955195,0.3903169,0.9724491,0.921886,4.829616,1.711021,3.616885,0.2687136,0.06097786,0.9426192,288.0101,260.6143,183.5629,0.4640144,0.07568856,0.9514233,294.1536,29.5344,64.83432,False,False,False,False,False,False,True,True
0.6866593,1,Training,4,Floor,Shelves,MIN1,,,,,-1.555606,1.847336,0.03922442,14.6518,273.1403,357.3795,-2.290863,1.103212,-0.09680341,61.14096,283.9964,1.661671,-2.256991,1.106027,0.06843136,61.74179,246.3955,0.7948741,0.3898268,0.973051,0.9207579,4.644262,1.388598,3.68063,0.2687546,0.06110279,0.9426693,288.0095,260.7836,183.3764,0.4640414,0.07553114,0.9517324,294.3724,30.06509,64.17276,False,False,False,False,False,False,True,True
0.7199922,1,Training,4,Floor,Shelves,MIN1,,,,,-1.554786,1.846325,0.03757392,15.20741,273.0256,357.672,-2.291199,1.102988,-0.09688635,61.14609,284.0029,1.663792,-2.25718,1.105846,0.06860372,61.72812,246.3843,0.7739059,0.3892853,0.973569,0.9197438,4.592743,0.9156832,3.694221,0.4672334,0.08284032,0.927047,308.9102,349.0155,298.958,0.4640414,0.07553114,0.9517324,294.3724,30.06509,64.17276,False,False,False,False,False,False,True,True
0.7533252,1,Training,4,Floor,Shelves,MIN1,,,,,-1.553824,1.845577,0.03584336,15.55448,272.8735,357.8732,-2.29066,1.103432,-0.09678545,61.1434,283.9883,1.653881,-2.257441,1.105681,0.06855869,61.74555,246.3846,0.7818578,0.3885849,0.973982,0.9189454,4.142263,0.9069295,3.899838,0.4672334,0.08284032,0.927047,308.9102,349.0155,298.958,0.4638722,0.07499567,0.9524474,295.1867,29.50021,63.82627,False,False,False,False,False,False,True,True
0.7866582,1,Training,4,Floor,Shelves,MIN1,,,,,-1.553003,1.845151,0.03445737,15.67134,272.706,358.0283,-2.291155,1.103132,-0.0968162,61.14872,284.0014,1.661382,-2.257308,1.106043,0.06857885,61.72721,246.3596,0.7608929,0.3878346,0.9743757,0.9179478,4.003743,0.4452532,4.022691,0.4672334,0.08284032,0.927047,308.9102,349.0155,298.958,0.4637612,0.07510052,0.9521636,294.998,29.21585,64.12002,False,False,False,False,False,False,True,True
