TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Pos,Landmark2Pos,Landmark3Pos,Landmark4Pos,Landmark5Pos,Landmark6Pos,Landmark1Rot,Landmark2Rot,Landmark3Rot,Landmark4Rot,Landmark5Rot,Landmark6Rot,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,5,Shelves,Shelves,,,,
0.02,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6657547;1.026682;0.5771126),(0.8259128;1.036597;0.633343),(0.7327898;0.9750403;0.2842361),(0.005431473;1.036652;0.6336549),(-0.8844507;0.9939135;0.3912714),(-0.05275768;0.9804996;0.3151971),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.34,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6444505;0.97079;0.6062607),(0.7994837;0.9788786;0.6624911),(0.7093408;0.928665;0.3133837),(0.005257666;0.9789226;0.662803),(-0.8561485;0.9440602;0.4204191),(-0.05106944;0.9331182;0.3443447),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.44,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.637793;0.9533237;0.6153695),(0.7912245;0.9608414;0.6715999),(0.702013;0.9141728;0.3224923),(0.005203351;0.9608821;0.6719118),(-0.847304;0.928481;0.4295277),(-0.05054186;0.9183115;0.3534534),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.5,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6337985;0.942844;0.6208348),(0.7862691;0.950019;0.6770651),(0.6976163;0.9054774;0.3279575),(0.005170763;0.9500577;0.677377),(-0.8419974;0.9191335;0.4349929),(-0.05022532;0.9094275;0.3589185),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.54,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6311355;0.9358575;0.6244783),(0.7829654;0.9428041;0.6807086),(0.6946852;0.8996805;0.331601),(0.005149037;0.9428415;0.6810206),(-0.8384596;0.9129019;0.4386363),(-0.05001429;0.9035048;0.362562),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.56,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.629804;0.9323642;0.6263),(0.7813136;0.9391314;0.6821604),(0.6932197;0.896782;0.3334227),(0.005138174;0.9391482;0.682359),(-0.8366907;0.909786;0.4404581),(-0.04990877;0.9005435;0.3643837),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.6,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6271409;0.9253777;0.6299435),(0.77801;0.9318022;0.6851559),(0.6902885;0.8909851;0.3370661),(0.005116448;0.9318053;0.6852837),(-0.8331529;0.9035544;0.4441015),(-0.04969774;0.8946208;0.3680272),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.62,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6258094;0.9218845;0.6317653),(0.7763581;0.9280272;0.6860275),(0.688823;0.8880867;0.3388879),(0.005105585;0.9280236;0.6861209),(-0.8313841;0.9004385;0.4459232),(-0.04959223;0.8916594;0.3698489),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.66,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6231464;0.914898;0.6354088),(0.7730545;0.920601;0.6884723),(0.6858919;0.8822898;0.3425313),(0.005083859;0.9205908;0.6885361),(-0.8278463;0.8942069;0.4495667),(-0.0493812;0.8857368;0.3734924),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
0.7,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.6204834;0.9079115;0.6390523),(0.7697508;0.9131105;0.6905531),(0.6829607;0.8764929;0.3461748),(0.005062133;0.9130955;0.690597),(-0.8243085;0.8879752;0.4532101),(-0.04917017;0.8798141;0.3771358),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(80.00003;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
