Timestamp	QuestionID	Name	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w	Status
0.01296997	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.01296997	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.01296997	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.01296997	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.01296997	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.01296997	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.03518677	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.03518677	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.03518677	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.03518677	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.03518677	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.03518677	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.05741119	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.05741119	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.05741119	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.05741119	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.05741119	9	MIN2	-0.0745	0.0247	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.05741119	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.07963562	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.07963562	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.07963562	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.07963562	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.07963562	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.07963562	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.1018524	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.1018524	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.1018524	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.1018524	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.1018524	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.1018524	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.1240768	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.1240768	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.1240768	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.1240768	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.1240768	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.1240768	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.1463013	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.1463013	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.1463013	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.1463013	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.1463013	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.1463013	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.1685181	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.1685181	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.1685181	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.1685181	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.1685181	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.1685181	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.1907425	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.1907425	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.1907425	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.1907425	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.1907425	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.1907425	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.2129669	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.2129669	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.2129669	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.2129669	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.2129669	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.2129669	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.2351837	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.2351837	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.2351837	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.2351837	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.2351837	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.2351837	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.2574081	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.2574081	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.2574081	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.2574081	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.2574081	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.2574081	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.2796326	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.2796326	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.2796326	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.2796326	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.2796326	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.2796326	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.3018494	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.3018494	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.3018494	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.3018494	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.3018494	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.3018494	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.3240738	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.3240738	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.3240738	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.3240738	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.3240738	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.3240738	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.3462982	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.3462982	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.3462982	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.3462982	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.3462982	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.3462982	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.368515	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.368515	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.368515	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.368515	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.368515	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.368515	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.3907394	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.3907394	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.3907394	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.3907394	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.3907394	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.3907394	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.4129639	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.4129639	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.4129639	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.4129639	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.4129639	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.4129639	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.4351883	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.4351883	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.4351883	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.4351883	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.4351883	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.4351883	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.4574051	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.4574051	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.4574051	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.4574051	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.4574051	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.4574051	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.4796295	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.4796295	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.4796295	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.4796295	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.4796295	9	MIN2	-0.0745	0.0247	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.4796295	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.5018539	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.5018539	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.5018539	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.5018539	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.5018539	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.5018539	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.5240707	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.5240707	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.5240707	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.5240707	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.5240707	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.5240707	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.5462952	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.5462952	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.5462952	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.5462952	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.5462952	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.5462952	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.5685196	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.5685196	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.5685196	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.5685196	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.5685196	9	MIN2	-0.0745	0.0248	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.5685196	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.5907364	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.5907364	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.5907364	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.5907364	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.5907364	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.5907364	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.6129608	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
0.6129608	9	MIN1	0.5140	0.0250	0.1307	0.7071	0.0000	0.0000	0.7071	highlighted
0.6129608	9	MAX1	0.8237	0.0250	-0.1370	0.7071	0.0000	0.0000	0.7071	
0.6129608	9	MAX2	0.7731	0.0250	0.8183	0.7071	0.0000	0.0000	0.7071	
0.6129608	9	MIN2	-0.0745	0.0249	-0.3056	0.7065	0.0268	-0.0268	0.7067	highlighted
0.6129608	9	MIN3	-0.5364	0.0250	0.7285	0.7071	0.0000	0.0000	0.7071	
0.6351852	9	MAX3	0.0573	0.0250	0.0037	0.7054	0.0486	-0.0486	0.7055	highlighted
