Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.01296997	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.03518677	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.05741119	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.07963562	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.1018524	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.1240768	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.1463013	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.1685181	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.1907425	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.2129669	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.2351837	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.2574081	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.2796326	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.3018494	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.3240738	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.3462982	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.368515	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.3907394	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.4129639	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.4351883	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.4574051	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.4796295	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.5018539	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.5240707	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.5462952	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.5685196	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.5907364	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.6129608	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.6351852	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.657402	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.6796265	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.7018509	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.7240677	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.7462921	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.7685165	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.7907333	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.8129578	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.8351822	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.857399	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.8796234	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.9018478	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.9240646	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.9462891	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.9685135	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
0.9907303	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.012955	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.035179	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.057404	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.07962	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.101845	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.124069	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.146286	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.16851	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.190735	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.212952	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.235176	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.257401	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.279617	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.301842	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.324066	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.346283	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.368507	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.390732	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.412949	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.435173	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.457397	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.479614	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.501839	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.524063	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.54628	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.568504	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.590729	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.612953	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.63517	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.657394	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.679619	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.701836	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.72406	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.746284	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.768501	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.790726	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.81295	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.835167	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.857391	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.879616	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.901833	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.924057	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.946281	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.968498	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
1.990723	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.012947	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.035164	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.057388	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.079613	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.10183	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.124054	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.146278	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.168495	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.19072	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.212944	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
2.235168	-0.3526	1.0401	1.0146	0.5009	0.0163	-0.0112	0.8653
