Timestamp	Position.x	Position.y	Position.z	Rotation.x	Rotation.y	Rotation.z	Rotation.w
0.01296997	0.0236	0.0547	1.7892	0.2992	-0.4764	-0.7122	-0.4199
0.03518677	0.0236	0.0547	1.7892	0.2992	-0.4764	-0.7122	-0.4199
0.05741119	0.0236	0.0547	1.7892	0.2992	-0.4764	-0.7122	-0.4199
0.07963562	0.0236	0.0546	1.7893	0.2994	-0.4757	-0.7125	-0.4201
0.1018524	0.0236	0.0546	1.7893	0.2994	-0.4757	-0.7125	-0.4201
0.1240768	0.0236	0.0546	1.7893	0.2995	-0.4759	-0.7122	-0.4202
0.1463013	0.0236	0.0546	1.7893	0.2995	-0.4759	-0.7122	-0.4202
0.1685181	0.0236	0.0547	1.7892	0.2992	-0.4766	-0.7127	-0.4187
0.1907425	0.0235	0.0546	1.7893	0.2990	-0.4762	-0.7124	-0.4198
0.2129669	0.0236	0.0547	1.7892	0.2994	-0.4761	-0.7125	-0.4197
0.2351837	0.0236	0.0547	1.7892	0.2994	-0.4761	-0.7125	-0.4197
0.2574081	0.0235	0.0546	1.7893	0.2989	-0.4762	-0.7127	-0.4195
0.2796326	0.0236	0.0547	1.7892	0.2991	-0.4761	-0.7127	-0.4195
0.3018494	0.0236	0.0546	1.7893	0.2994	-0.4765	-0.7125	-0.4192
0.3240738	0.0236	0.0546	1.7893	0.2994	-0.4765	-0.7125	-0.4192
0.3462982	0.0236	0.0546	1.7893	0.2994	-0.4768	-0.7122	-0.4192
0.368515	0.0235	0.0546	1.7893	0.2994	-0.4763	-0.7125	-0.4194
0.3907394	0.0236	0.0547	1.7892	0.2993	-0.4764	-0.7125	-0.4193
0.4129639	0.0235	0.0546	1.7893	0.2991	-0.4764	-0.7126	-0.4192
0.4351883	0.0236	0.0547	1.7893	0.2994	-0.4771	-0.7123	-0.4187
0.4574051	0.0235	0.0547	1.7892	0.2991	-0.4762	-0.7128	-0.4192
0.4796295	0.0235	0.0547	1.7892	0.2991	-0.4762	-0.7128	-0.4192
0.5018539	0.0235	0.0546	1.7893	0.2996	-0.4771	-0.7120	-0.4192
0.5240707	0.0236	0.0547	1.7893	0.2993	-0.4763	-0.7126	-0.4193
0.5462952	0.0235	0.0546	1.7893	0.2991	-0.4760	-0.7128	-0.4193
0.5685196	0.0236	0.0547	1.7893	0.2993	-0.4764	-0.7122	-0.4199
0.5907364	0.0235	0.0547	1.7893	0.2994	-0.4762	-0.7123	-0.4198
0.6129608	0.0235	0.0547	1.7893	0.2994	-0.4767	-0.7125	-0.4190
0.6351852	0.0235	0.0547	1.7893	0.2994	-0.4767	-0.7125	-0.4190
